Alignment	Theta	Pi	TajimasD	nseff
g01734.nucleotide	None	None	None	None
g00567.nucleotide	0.02169491525423729	0.02071563088512242	-0.3355777043139582	4.80225988700565
g02105.nucleotide	None	None	None	None
g01556.nucleotide	None	None	None	None
g01908.nucleotide	None	None	None	None
g01920.nucleotide	None	None	None	None
g01899.nucleotide	None	None	None	None
g00666_2.nucleotide	None	None	None	None
g00107.nucleotide	0.019142242876788118	0.019887050235517508	0.1410272901025879	41.0
g00929_2.nucleotide	0.011904761904761904	0.011904761904761904	None	2.0
g00738.nucleotide	0.07209612817089453	0.07209612817089445	None	3.0
g01101.nucleotide	0.012799830835444557	0.00389036468581923	-2.426356468852661	32.70779220779221
g02077.nucleotide	None	None	None	None
g00768.nucleotide	0.16326530612244897	0.17006802721088443	None	2.589795918367347
g01786.nucleotide	0.0006677773426627925	0.001362281822051937	1.6210378305916417	30.0
g00431.nucleotide	0.03443761767368805	0.04062922320125412	0.7113219649103186	25.997189037245256
g01235.nucleotide	0.1344450234497134	0.1641479937467432	2.3209018081237347	3.6373110995310056
g01862.nucleotide	0.00837123991102405	0.002155381187639253	-2.351067464706613	37.0
g01906.nucleotide	None	None	None	None
g00770.nucleotide	0.06613756613756615	0.07275132275132275	None	2.5476190476190474
g02331.nucleotide	None	None	None	None
g02030.nucleotide	None	None	None	None
g00676.nucleotide	0.008278900149178344	0.005928939503157338	-1.1484171998038715	18.271356783919597
g00128.nucleotide	0.007351569365663646	0.00559021495259463	-0.8529475009025799	41.0
g00627_1.nucleotide	0.017483805336022156	0.012554479379123922	-0.9809946925749432	38.44549763033175
g02360.nucleotide	0.000548039941672892	0.00031007751937984487	-1.4008508021820407	10.0
g01342.nucleotide	0.009586856089719752	0.011779974044124985	1.1457874208637948	9.0
g00234.nucleotide	0.012157317154003724	0.007887976148942244	-1.229972784889636	41.0
g00902.nucleotide	0.005729110135491185	0.004716475865300932	-0.6047874072744699	40.0
g00187.nucleotide	0.0033508877747056858	0.0032651455546813526	-0.07261149349323014	41.0
g01669.nucleotide	None	None	None	None
g01443.nucleotide	None	None	None	None
g00475.nucleotide	0.016194669453990954	0.015379935672936199	-0.18586264699487373	39.96579194001875
g02229.nucleotide	None	None	None	None
g02267.nucleotide	None	None	None	None
g00467_2.nucleotide	None	None	None	None
g00550.nucleotide	0.02576901388001899	0.023530172741076556	-0.32093416195578733	40.00675675675676
g01218.nucleotide	0.0233695950925851	0.014114617780300164	-1.4749968217243383	39.8596421471173
g00141.nucleotide	0.014966829111440127	0.013196920455621108	-0.43134258843673157	41.0
g01418.nucleotide	None	None	None	None
g01360.nucleotide	None	None	None	None
g01702.nucleotide	0.004365192392376459	0.0032465399953084677	-0.8025731598258585	29.0
g01398.nucleotide	None	None	None	None
g00871.nucleotide	0.007972302995437292	0.008252322726006942	0.12469205644055231	39.97186147186147
g00002.nucleotide	0.010278233740701024	0.01712865448512514	2.3248476279247745	37.963562753036435
g01633.nucleotide	None	None	None	None
g02108.nucleotide	None	None	None	None
g00572.nucleotide	0.06446548857975963	0.04058927675948964	-1.846467060829537	10.423505572441742
g00140.nucleotide	0.012445389898068242	0.010127535780150137	-0.6610099883186255	41.0
g00648.nucleotide	0.010429491791843713	0.008162138538482624	-0.6462223072033271	32.857142857142854
g01685.nucleotide	None	None	None	None
